run,algorithm,threshold,time,max_memory
1,eclat,0.9,4.912574,875.14
2,eclat,0.9,5.092229,815.02
3,eclat,0.9,4.73856,923.16
4,eclat,0.9,4.839016,1050.44
5,eclat,0.9,5.072448,1020.02
1,apriori_pruning,0.9,5.478129,170.72
2,apriori_pruning,0.9,5.545844,161.88
3,apriori_pruning,0.9,5.550317,161.95
4,apriori_pruning,0.9,5.526151,154.19
5,apriori_pruning,0.9,5.590032,178.44
1,apriori_no_pruning,0.9,5.666152,170.5
2,apriori_no_pruning,0.9,5.65447,178.52
3,apriori_no_pruning,0.9,5.589247,162.41
4,apriori_no_pruning,0.9,5.469454,153.56
5,apriori_no_pruning,0.9,5.454719,169.91
1,eclat,0.8,7.148412,1078.47
2,eclat,0.8,7.002706,974.92
3,eclat,0.8,6.984007,1084.44
4,eclat,0.8,7.85231,758.36
5,eclat,0.8,8.149518,961.77
1,apriori_pruning,0.8,15.932641,163.02
2,apriori_pruning,0.8,15.825598,106.23
3,apriori_pruning,0.8,15.794999,146.86
4,apriori_pruning,0.8,15.861376,153.86
5,apriori_pruning,0.8,16.090588,147.16
1,apriori_no_pruning,0.8,21.823687,146.75
2,apriori_no_pruning,0.8,21.902184,154.91
3,apriori_no_pruning,0.8,21.755489,179.19
4,apriori_no_pruning,0.8,22.239777,154.09
5,apriori_no_pruning,0.8,22.024143,171.44
1,eclat,0.7,14.086604,1296.67
2,eclat,0.7,13.834264,1354.33
3,eclat,0.7,14.288353,1297.27
4,eclat,0.7,13.667473,1396.02
5,eclat,0.7,13.282736,969.95
1,apriori_pruning,0.7,50.795102,185.94
2,apriori_pruning,0.7,50.247971,130.36
3,apriori_pruning,0.7,50.140868,169.88
4,apriori_pruning,0.7,54.265506,138.56
5,apriori_pruning,0.7,50.543474,154.09
1,apriori_no_pruning,0.7,102.104255,169.19
2,apriori_no_pruning,0.7,100.274531,154.48
3,apriori_no_pruning,0.7,100.798627,154.59
4,apriori_no_pruning,0.7,101.341692,162.28
5,apriori_no_pruning,0.7,100.849058,130.34
1,eclat,0.6,40.398743,1476.41
2,eclat,0.6,41.337552,1635.91
3,eclat,0.6,40.465061,1457.09
4,eclat,0.6,40.211429,1235.27
5,eclat,0.6,40.013573,1344.86
1,apriori_pruning,0.6,205.000939,138.73
2,apriori_pruning,0.6,203.62033,163.28
3,apriori_pruning,0.6,280.590988,145.22
4,apriori_pruning,0.6,208.535699,152.98
5,apriori_pruning,0.6,210.353031,161.23
1,apriori_no_pruning,0.6,440.519244,156.61
2,apriori_no_pruning,0.6,447.858891,157.75
3,apriori_no_pruning,0.6,443.732398,164.25
4,apriori_no_pruning,0.6,445.722692,140.53
5,apriori_no_pruning,0.6,437.275479,132.64
1,eclat,0.5,139.544728,1512.38
2,eclat,0.5,140.400947,1484.16
3,eclat,0.5,139.040564,1675.3
