run,dataset,threshold,time
1,accidents,0.8,21.904955
1,accidents,0.9,5.412458
1,accidents,0.85,10.926763
1,chess,0.7,146.918275
1,chess,0.8,13.035885
1,chess,0.9,0.787005
1,connect,0.95,83.326804
1,connect,0.97,12.11484
1,connect,0.98,5.146933
1,mushroom,0.3,9.285427
1,mushroom,0.5,0.41095
1,mushroom,0.8,0.062515
1,pumsb,0.9,107.567688
1,pumsb,0.95,6.081976
1,pumsb,0.97,1.653905
1,retail,0.1,0.38101
1,retail,0.02,1.678993
1,retail,0.05,0.469828
2,accidents,0.8,22.15045
2,accidents,0.9,5.364645
2,accidents,0.85,10.956148
2,chess,0.7,140.867121
2,chess,0.8,12.859722
2,chess,0.9,0.768342
2,connect,0.95,82.551487
2,connect,0.97,12.372535
2,connect,0.98,5.027759
2,mushroom,0.3,8.912526
2,mushroom,0.5,0.377544
2,mushroom,0.8,0.060845
2,pumsb,0.9,108.357787
2,pumsb,0.95,6.102602
2,pumsb,0.97,1.631974
2,retail,0.1,0.357493
2,retail,0.02,1.622167
2,retail,0.05,0.448435
3,accidents,0.8,22.138293
3,accidents,0.9,5.455702
3,accidents,0.85,11.142891
3,chess,0.7,142.184172
3,chess,0.8,12.51842
3,chess,0.9,0.755062
3,connect,0.95,82.953799
3,connect,0.97,12.522887
3,connect,0.98,5.184152
3,mushroom,0.3,9.237452
3,mushroom,0.5,0.418321
3,mushroom,0.8,0.061125
3,pumsb,0.9,109.783981
3,pumsb,0.95,6.267319
3,pumsb,0.97,1.69766
3,retail,0.1,0.36908
3,retail,0.02,1.648793
3,retail,0.05,0.481128
4,accidents,0.8,21.85651
4,accidents,0.9,5.645184
4,accidents,0.85,10.87049
4,chess,0.7,148.606556
4,chess,0.8,12.619104
4,chess,0.9,0.803257
4,connect,0.95,83.405702
4,connect,0.97,12.563007
4,connect,0.98,5.069043
4,mushroom,0.3,8.81129
4,mushroom,0.5,0.379812
4,mushroom,0.8,0.059559
4,pumsb,0.9,109.273756
4,pumsb,0.95,6.201922
4,pumsb,0.97,1.77752
4,retail,0.1,0.421024
4,retail,0.02,1.776113
4,retail,0.05,0.508719
5,accidents,0.8,22.013034
5,accidents,0.9,5.497862
5,accidents,0.85,11.039994
5,chess,0.7,141.307429
5,chess,0.8,12.087952
5,chess,0.9,0.758949
5,connect,0.95,82.374586
5,connect,0.97,12.768315
5,connect,0.98,4.954198
5,mushroom,0.3,8.93943
5,mushroom,0.5,0.410051
5,mushroom,0.8,0.059523
5,pumsb,0.9,107.979291
5,pumsb,0.95,6.114169
5,pumsb,0.97,1.605481
5,retail,0.1,0.36324
5,retail,0.02,1.600394
5,retail,0.05,0.443966
