run,dataset,threshold,time
1,accidents,0.8,6.996505
1,accidents,0.9,4.702119
1,accidents,0.85,5.8625
1,chess,0.7,3.460032
1,chess,0.8,0.625961
1,chess,0.9,0.075378
1,connect,0.95,3.846728
1,connect,0.97,1.518188
1,connect,0.98,0.986216
1,mushroom,0.3,0.513359
1,mushroom,0.5,0.112677
1,mushroom,0.8,0.054992
1,pumsb,0.9,5.907484
1,pumsb,0.95,1.694949
1,pumsb,0.97,1.422757
1,retail,0.1,0.538429
1,retail,0.02,0.767675
1,retail,0.05,0.561174
2,accidents,0.8,6.963322
2,accidents,0.9,4.649377
2,accidents,0.85,5.617402
2,chess,0.7,3.37299
2,chess,0.8,0.730323
2,chess,0.9,0.087975
2,connect,0.95,4.090764
2,connect,0.97,1.449805
2,connect,0.98,0.959207
2,mushroom,0.3,0.551042
2,mushroom,0.5,0.114686
2,mushroom,0.8,0.059904
2,pumsb,0.9,5.879364
2,pumsb,0.95,1.732753
2,pumsb,0.97,1.484179
2,retail,0.1,0.525318
2,retail,0.02,0.808896
2,retail,0.05,0.603158
3,accidents,0.8,7.195211
3,accidents,0.9,4.743079
3,accidents,0.85,6.157926
3,chess,0.7,4.001868
3,chess,0.8,0.738324
3,chess,0.9,0.085094
3,connect,0.95,3.816829
3,connect,0.97,1.32878
3,connect,0.98,1.047829
3,mushroom,0.3,0.520878
3,mushroom,0.5,0.121793
3,mushroom,0.8,0.058047
3,pumsb,0.9,5.733426
3,pumsb,0.95,1.703956
3,pumsb,0.97,1.318371
3,retail,0.1,0.503112
3,retail,0.02,0.730948
3,retail,0.05,0.5376
4,accidents,0.8,7.311246
4,accidents,0.9,4.809416
4,accidents,0.85,5.69387
4,chess,0.7,4.274954
4,chess,0.8,0.695944
4,chess,0.9,0.080398
4,connect,0.95,4.134345
4,connect,0.97,1.534888
4,connect,0.98,0.983184
4,mushroom,0.3,0.474486
4,mushroom,0.5,0.128288
4,mushroom,0.8,0.069445
4,pumsb,0.9,6.27022
4,pumsb,0.95,1.701196
4,pumsb,0.97,1.378244
4,retail,0.1,0.534585
4,retail,0.02,0.72032
4,retail,0.05,0.528433
5,accidents,0.8,7.640087
5,accidents,0.9,4.802654
5,accidents,0.85,5.657824
5,chess,0.7,3.76728
5,chess,0.8,0.677164
5,chess,0.9,0.081396
5,connect,0.95,3.743484
5,connect,0.97,1.462156
5,connect,0.98,1.059882
5,mushroom,0.3,0.433639
5,mushroom,0.5,0.112282
5,mushroom,0.8,0.065846
5,pumsb,0.9,6.029694
5,pumsb,0.95,1.767824
5,pumsb,0.97,1.405364
5,retail,0.1,0.487015
5,retail,0.02,0.712529
5,retail,0.05,0.501664
