run,algorithm,threshold,time,max_memory
1,eclat,0.9,0.074764,28.02
2,eclat,0.9,0.070732,28.03
3,eclat,0.9,0.073233,28.03
4,eclat,0.9,0.07258,28.03
5,eclat,0.9,0.071208,28.03
1,apriori_pruning,0.9,0.063514,26.08
2,apriori_pruning,0.9,0.063329,26.08
3,apriori_pruning,0.9,0.076189,26.09
4,apriori_pruning,0.9,0.062675,26.09
5,apriori_pruning,0.9,0.063226,26.09
1,apriori_no_pruning,0.9,0.06448,26.09
2,apriori_no_pruning,0.9,0.066332,26.09
3,apriori_no_pruning,0.9,0.06411,26.09
4,apriori_no_pruning,0.9,0.064879,26.09
5,apriori_no_pruning,0.9,0.076973,26.09
1,eclat,0.8,0.079134,28.04
2,eclat,0.8,0.090404,28.04
3,eclat,0.8,0.105268,28.04
4,eclat,0.8,0.098181,28.04
5,eclat,0.8,0.110578,28.04
1,apriori_pruning,0.8,0.083197,26.09
2,apriori_pruning,0.8,0.094102,26.09
3,apriori_pruning,0.8,0.081073,26.09
4,apriori_pruning,0.8,0.091658,26.09
5,apriori_pruning,0.8,0.080408,26.09
1,apriori_no_pruning,0.8,0.09666,26.09
2,apriori_no_pruning,0.8,0.084847,26.09
3,apriori_no_pruning,0.8,0.087379,26.09
4,apriori_no_pruning,0.8,0.124107,26.09
5,apriori_no_pruning,0.8,0.085207,26.09
1,eclat,0.7,0.094166,28.04
2,eclat,0.7,0.081412,28.04
3,eclat,0.7,0.113973,28.04
4,eclat,0.7,0.095296,28.04
5,eclat,0.7,0.108468,28.04
1,apriori_pruning,0.7,0.122291,26.09
2,apriori_pruning,0.7,0.119578,26.09
3,apriori_pruning,0.7,0.091912,26.09
4,apriori_pruning,0.7,0.103625,26.09
5,apriori_pruning,0.7,0.102662,26.09
1,apriori_no_pruning,0.7,0.092211,26.09
2,apriori_no_pruning,0.7,0.120092,26.1
3,apriori_no_pruning,0.7,0.114403,26.1
4,apriori_no_pruning,0.7,0.123668,26.1
5,apriori_no_pruning,0.7,0.118688,26.1
1,eclat,0.6,0.127087,28.05
2,eclat,0.6,0.10828,28.05
3,eclat,0.6,0.091457,28.05
4,eclat,0.6,0.094432,28.05
5,eclat,0.6,0.106958,28.05
1,apriori_pruning,0.6,0.118555,26.11
2,apriori_pruning,0.6,0.163028,26.11
3,apriori_pruning,0.6,0.119602,26.11
4,apriori_pruning,0.6,0.122328,26.11
5,apriori_pruning,0.6,0.120435,26.11
1,apriori_no_pruning,0.6,0.14795,26.12
2,apriori_no_pruning,0.6,0.148289,26.12
3,apriori_no_pruning,0.6,0.148599,26.12
4,apriori_no_pruning,0.6,0.146727,26.12
5,apriori_no_pruning,0.6,0.174978,26.12
1,eclat,0.5,0.129049,28.07
2,eclat,0.5,0.154432,28.07
3,eclat,0.5,0.162764,28.07
4,eclat,0.5,0.131873,28.07
5,eclat,0.5,0.129658,28.07
1,apriori_pruning,0.5,0.264618,26.17
2,apriori_pruning,0.5,0.264679,26.17
3,apriori_pruning,0.5,0.266401,26.17
4,apriori_pruning,0.5,0.263195,26.17
5,apriori_pruning,0.5,0.265461,26.17
1,apriori_no_pruning,0.5,0.507832,26.28
2,apriori_no_pruning,0.5,0.505713,26.28
3,apriori_no_pruning,0.5,0.505101,26.28
4,apriori_no_pruning,0.5,0.506252,26.28
5,apriori_no_pruning,0.5,0.508306,26.28
1,eclat,0.4,0.222858,28.16
2,eclat,0.4,0.217816,28.16
3,eclat,0.4,0.215818,28.16
4,eclat,0.4,0.222054,28.12
5,eclat,0.4,0.216572,28.16
1,apriori_pruning,0.4,0.871406,41.31
2,apriori_pruning,0.4,0.834317,41.31
3,apriori_pruning,0.4,0.873157,41.31
4,apriori_pruning,0.4,0.876154,41.31
5,apriori_pruning,0.4,0.861891,41.31
1,apriori_no_pruning,0.4,2.697063,42.18
2,apriori_no_pruning,0.4,2.740332,42.18
3,apriori_no_pruning,0.4,2.677223,42.18
4,apriori_no_pruning,0.4,2.678745,42.18
5,apriori_no_pruning,0.4,2.740125,42.18
1,eclat,0.3,0.590302,43.01
2,eclat,0.3,0.607761,43.01
3,eclat,0.3,0.610878,43.01
4,eclat,0.3,0.590064,43.01
5,eclat,0.3,0.61516,42.97
1,apriori_pruning,0.3,4.337939,42.53
2,apriori_pruning,0.3,4.398405,42.53
3,apriori_pruning,0.3,4.325913,42.56
4,apriori_pruning,0.3,4.333813,42.56
5,apriori_pruning,0.3,4.392168,42.56
1,apriori_no_pruning,0.3,10.827866,46.43
2,apriori_no_pruning,0.3,10.851238,46.43
3,apriori_no_pruning,0.3,10.831996,46.43
4,apriori_no_pruning,0.3,10.83699,46.43
5,apriori_no_pruning,0.3,10.858149,46.43
1,eclat,0.2,5.826409,51.14
2,eclat,0.2,5.837199,51.14
3,eclat,0.2,5.805511,51.14
4,eclat,0.2,5.907474,51.14
5,eclat,0.2,5.828904,51.14
1,apriori_pruning,0.2,148.565511,62.42
2,apriori_pruning,0.2,151.128703,62.41
3,apriori_pruning,0.2,148.972828,62.48
4,apriori_pruning,0.2,148.964032,62.52
5,apriori_pruning,0.2,148.876231,62.57
1,apriori_no_pruning,0.2,201.710705,64.16
2,apriori_no_pruning,0.2,201.107642,64.2
3,apriori_no_pruning,0.2,205.567416,64.12
4,apriori_no_pruning,0.2,200.67937,64.17
5,apriori_no_pruning,0.2,202.737796,64.16
1,eclat,0.15,10.510578,68.94
2,eclat,0.15,10.503625,68.94
3,eclat,0.15,10.513025,68.94
4,eclat,0.15,10.528074,68.94
5,eclat,0.15,10.495481,68.94
1,apriori_pruning,0.15,400.464154,73.7
2,apriori_pruning,0.15,405.126448,73.74
3,apriori_pruning,0.15,397.88755,73.66
4,apriori_pruning,0.15,399.16223,73.76
5,apriori_pruning,0.15,398.627467,73.83
1,apriori_no_pruning,0.15,710.101382,78.16
2,apriori_no_pruning,0.15,707.595607,78.13
3,apriori_no_pruning,0.15,720.823461,77.8
4,apriori_no_pruning,0.15,710.02133,78.15
5,apriori_no_pruning,0.15,722.010634,78.09
1,eclat,0.1,35.944509,80.86
2,eclat,0.1,35.734348,80.8
3,eclat,0.1,35.727632,80.9
4,eclat,0.1,35.748314,80.9
5,eclat,0.1,35.733149,80.9
1,apriori_pruning,0.1,nan,nan
2,apriori_pruning,0.1,nan,nan
3,apriori_pruning,0.1,nan,nan
4,apriori_pruning,0.1,nan,nan
5,apriori_pruning,0.1,nan,nan
1,apriori_no_pruning,0.1,nan,nan
2,apriori_no_pruning,0.1,nan,nan
3,apriori_no_pruning,0.1,nan,nan
4,apriori_no_pruning,0.1,nan,nan
5,apriori_no_pruning,0.1,nan,nan
1,eclat,0.05,147.4768,98.34
2,eclat,0.05,147.988173,98.25
3,eclat,0.05,147.609779,98.39
4,eclat,0.05,147.695085,98.41
5,eclat,0.05,147.669615,98.32
1,apriori_pruning,0.05,nan,nan
2,apriori_pruning,0.05,nan,nan
3,apriori_pruning,0.05,nan,nan
4,apriori_pruning,0.05,nan,nan
5,apriori_pruning,0.05,nan,nan
1,apriori_no_pruning,0.05,nan,nan
2,apriori_no_pruning,0.05,nan,nan
3,apriori_no_pruning,0.05,nan,nan
4,apriori_no_pruning,0.05,nan,nan
5,apriori_no_pruning,0.05,nan,nan
1,eclat,0.01,nan,nan
2,eclat,0.01,nan,nan
3,eclat,0.01,nan,nan
4,eclat,0.01,nan,nan
5,eclat,0.01,nan,nan
1,apriori_pruning,0.01,nan,nan
2,apriori_pruning,0.01,nan,nan
3,apriori_pruning,0.01,nan,nan
4,apriori_pruning,0.01,nan,nan
5,apriori_pruning,0.01,nan,nan
1,apriori_no_pruning,0.01,nan,nan
2,apriori_no_pruning,0.01,nan,nan
3,apriori_no_pruning,0.01,nan,nan
4,apriori_no_pruning,0.01,nan,nan
5,apriori_no_pruning,0.01,nan,nan
1,eclat,0.005,nan,nan
2,eclat,0.005,nan,nan
3,eclat,0.005,nan,nan
4,eclat,0.005,nan,nan
5,eclat,0.005,nan,nan
1,apriori_pruning,0.005,nan,nan
2,apriori_pruning,0.005,nan,nan
3,apriori_pruning,0.005,nan,nan
4,apriori_pruning,0.005,nan,nan
5,apriori_pruning,0.005,nan,nan
1,apriori_no_pruning,0.005,nan,nan
2,apriori_no_pruning,0.005,nan,nan
3,apriori_no_pruning,0.005,nan,nan
4,apriori_no_pruning,0.005,nan,nan
5,apriori_no_pruning,0.005,nan,nan
1,eclat,0.001,nan,nan
2,eclat,0.001,nan,nan
3,eclat,0.001,nan,nan
4,eclat,0.001,nan,nan
5,eclat,0.001,nan,nan
1,apriori_pruning,0.001,nan,nan
2,apriori_pruning,0.001,nan,nan
3,apriori_pruning,0.001,nan,nan
4,apriori_pruning,0.001,nan,nan
5,apriori_pruning,0.001,nan,nan
1,apriori_no_pruning,0.001,nan,nan
2,apriori_no_pruning,0.001,nan,nan
3,apriori_no_pruning,0.001,nan,nan
4,apriori_no_pruning,0.001,nan,nan
5,apriori_no_pruning,0.001,nan,nan
