run,algorithm,threshold,time,max_memory
1,eclat,0.98,2.419345,81.18
2,eclat,0.98,2.096222,81.0
3,eclat,0.98,2.108174,80.97
4,eclat,0.98,2.116573,81.18
5,eclat,0.98,2.114349,81.18
1,apriori_pruning,0.98,1.418789,80.48
2,apriori_pruning,0.98,1.418969,80.48
3,apriori_pruning,0.98,1.408039,80.48
4,apriori_pruning,0.98,1.414225,80.48
5,apriori_pruning,0.98,1.427789,80.48
1,apriori_no_pruning,0.98,1.474808,80.48
2,apriori_no_pruning,0.98,1.479787,80.48
3,apriori_no_pruning,0.98,1.466034,80.36
4,apriori_no_pruning,0.98,1.470682,80.39
5,apriori_no_pruning,0.98,1.46815,80.48
1,eclat,0.96,2.555117,81.2
2,eclat,0.96,2.565303,80.98
3,eclat,0.96,2.552162,81.2
4,eclat,0.96,2.541772,81.2
5,eclat,0.96,2.537361,81.05
1,apriori_pruning,0.96,2.733966,80.48
2,apriori_pruning,0.96,2.779715,80.51
3,apriori_pruning,0.96,2.770916,80.51
4,apriori_pruning,0.96,2.819516,80.51
5,apriori_pruning,0.96,2.796256,80.51
1,apriori_no_pruning,0.96,3.801021,80.54
2,apriori_no_pruning,0.96,3.798728,80.54
3,apriori_no_pruning,0.96,3.820108,80.43
4,apriori_no_pruning,0.96,3.819469,80.49
5,apriori_no_pruning,0.96,3.774068,80.38
1,eclat,0.94,3.791762,123.12
2,eclat,0.94,3.803026,123.24
3,eclat,0.94,3.802633,123.24
4,eclat,0.94,3.77273,123.24
5,eclat,0.94,3.780568,123.04
1,apriori_pruning,0.94,10.405578,122.52
2,apriori_pruning,0.94,10.353568,122.55
3,apriori_pruning,0.94,10.409428,122.51
4,apriori_pruning,0.94,10.365068,122.55
5,apriori_pruning,0.94,10.352438,122.56
1,apriori_no_pruning,0.94,17.354756,122.68
2,apriori_no_pruning,0.94,17.488131,122.79
3,apriori_no_pruning,0.94,17.496861,122.77
4,apriori_no_pruning,0.94,17.48707,122.68
5,apriori_no_pruning,0.94,17.420658,122.8
1,eclat,0.92,6.32468,124.02
2,eclat,0.92,6.345325,123.96
3,eclat,0.92,6.315474,124.02
4,eclat,0.92,6.293997,123.9
5,eclat,0.92,6.362146,124.02
1,apriori_pruning,0.92,31.359161,122.69
2,apriori_pruning,0.92,31.38751,122.75
3,apriori_pruning,0.92,31.315909,122.81
4,apriori_pruning,0.92,31.178296,122.98
5,apriori_pruning,0.92,31.470296,122.77
1,apriori_no_pruning,0.92,53.257812,123.77
2,apriori_no_pruning,0.92,53.419805,123.63
3,apriori_no_pruning,0.92,53.412691,123.76
4,apriori_no_pruning,0.92,53.673202,123.79
5,apriori_no_pruning,0.92,53.64527,123.82
1,eclat,0.9,12.453692,140.77
2,eclat,0.9,12.400262,140.82
3,eclat,0.9,12.454569,140.8
4,eclat,0.9,12.398544,140.75
5,eclat,0.9,12.46422,140.82
1,apriori_pruning,0.9,83.76805,122.83
2,apriori_pruning,0.9,83.743025,122.78
3,apriori_pruning,0.9,83.832711,122.75
4,apriori_pruning,0.9,83.910391,122.99
5,apriori_pruning,0.9,84.148015,122.71
1,apriori_no_pruning,0.9,149.678879,125.27
2,apriori_no_pruning,0.9,150.313617,125.01
3,apriori_no_pruning,0.9,150.430472,125.28
4,apriori_no_pruning,0.9,150.451439,125.08
5,apriori_no_pruning,0.9,150.676218,125.32
1,eclat,0.88,24.932635,132.93
2,eclat,0.88,25.092767,133.07
3,eclat,0.88,24.99213,133.07
4,eclat,0.88,24.954571,133.05
5,eclat,0.88,24.977711,133.07
1,apriori_pruning,0.88,207.056267,126.23
2,apriori_pruning,0.88,207.906143,126.61
3,apriori_pruning,0.88,207.248245,126.35
4,apriori_pruning,0.88,206.826686,126.23
