run,algorithm,threshold,time,max_memory
1,eclat,0.9,9.176846,158.35
2,eclat,0.9,9.074117,158.46
3,eclat,0.9,9.070128,158.46
4,eclat,0.9,9.00382,158.46
5,eclat,0.9,8.987689,158.36
1,apriori_pruning,0.9,78.910505,124.67
2,apriori_pruning,0.9,77.416662,124.69
3,apriori_pruning,0.9,77.397897,124.55
4,apriori_pruning,0.9,77.420435,124.43
5,apriori_pruning,0.9,77.276798,124.62
1,apriori_no_pruning,0.9,139.549782,125.96
2,apriori_no_pruning,0.9,139.084772,126.02
3,apriori_no_pruning,0.9,139.43013,125.96
4,apriori_no_pruning,0.9,139.612586,125.9
5,apriori_no_pruning,0.9,139.380994,125.72
1,eclat,0.8,359.055994,238.2
2,eclat,0.8,358.870918,238.3
3,eclat,0.8,358.909593,238.27
4,eclat,0.8,359.471765,238.3
5,eclat,0.8,358.494606,238.3
1,apriori_pruning,0.8,nan,nan
2,apriori_pruning,0.8,nan,nan
3,apriori_pruning,0.8,nan,nan
4,apriori_pruning,0.8,nan,nan
5,apriori_pruning,0.8,nan,nan
1,apriori_no_pruning,0.8,nan,nan
2,apriori_no_pruning,0.8,nan,nan
3,apriori_no_pruning,0.8,nan,nan
4,apriori_no_pruning,0.8,nan,nan
5,apriori_no_pruning,0.8,nan,nan
1,eclat,0.7,nan,nan
2,eclat,0.7,nan,nan
3,eclat,0.7,nan,nan
4,eclat,0.7,nan,nan
5,eclat,0.7,nan,nan
1,apriori_pruning,0.7,nan,nan
2,apriori_pruning,0.7,nan,nan
3,apriori_pruning,0.7,nan,nan
4,apriori_pruning,0.7,nan,nan
5,apriori_pruning,0.7,nan,nan
1,apriori_no_pruning,0.7,nan,nan
2,apriori_no_pruning,0.7,nan,nan
3,apriori_no_pruning,0.7,nan,nan
4,apriori_no_pruning,0.7,nan,nan
5,apriori_no_pruning,0.7,nan,nan
1,eclat,0.6,nan,nan
2,eclat,0.6,nan,nan
3,eclat,0.6,nan,nan
4,eclat,0.6,nan,nan
5,eclat,0.6,nan,nan
1,apriori_pruning,0.6,nan,nan
2,apriori_pruning,0.6,nan,nan
3,apriori_pruning,0.6,nan,nan
4,apriori_pruning,0.6,nan,nan
5,apriori_pruning,0.6,nan,nan
1,apriori_no_pruning,0.6,nan,nan
2,apriori_no_pruning,0.6,nan,nan
3,apriori_no_pruning,0.6,nan,nan
4,apriori_no_pruning,0.6,nan,nan
5,apriori_no_pruning,0.6,nan,nan
1,eclat,0.5,nan,nan
2,eclat,0.5,nan,nan
3,eclat,0.5,nan,nan
4,eclat,0.5,nan,nan
5,eclat,0.5,nan,nan
1,apriori_pruning,0.5,nan,nan
2,apriori_pruning,0.5,nan,nan
3,apriori_pruning,0.5,nan,nan
4,apriori_pruning,0.5,nan,nan
5,apriori_pruning,0.5,nan,nan
1,apriori_no_pruning,0.5,nan,nan
2,apriori_no_pruning,0.5,nan,nan
3,apriori_no_pruning,0.5,nan,nan
4,apriori_no_pruning,0.5,nan,nan
5,apriori_no_pruning,0.5,nan,nan
1,eclat,0.4,nan,nan
2,eclat,0.4,nan,nan
3,eclat,0.4,nan,nan
4,eclat,0.4,nan,nan
5,eclat,0.4,nan,nan
1,apriori_pruning,0.4,nan,nan
2,apriori_pruning,0.4,nan,nan
3,apriori_pruning,0.4,nan,nan
4,apriori_pruning,0.4,nan,nan
5,apriori_pruning,0.4,nan,nan
1,apriori_no_pruning,0.4,nan,nan
2,apriori_no_pruning,0.4,nan,nan
3,apriori_no_pruning,0.4,nan,nan
4,apriori_no_pruning,0.4,nan,nan
5,apriori_no_pruning,0.4,nan,nan
1,eclat,0.3,nan,nan
2,eclat,0.3,nan,nan
3,eclat,0.3,nan,nan
4,eclat,0.3,nan,nan
5,eclat,0.3,nan,nan
1,apriori_pruning,0.3,nan,nan
2,apriori_pruning,0.3,nan,nan
3,apriori_pruning,0.3,nan,nan
4,apriori_pruning,0.3,nan,nan
5,apriori_pruning,0.3,nan,nan
1,apriori_no_pruning,0.3,nan,nan
2,apriori_no_pruning,0.3,nan,nan
3,apriori_no_pruning,0.3,nan,nan
4,apriori_no_pruning,0.3,nan,nan
5,apriori_no_pruning,0.3,nan,nan
1,eclat,0.2,nan,nan
2,eclat,0.2,nan,nan
3,eclat,0.2,nan,nan
4,eclat,0.2,nan,nan
5,eclat,0.2,nan,nan
1,apriori_pruning,0.2,nan,nan
2,apriori_pruning,0.2,nan,nan
3,apriori_pruning,0.2,nan,nan
4,apriori_pruning,0.2,nan,nan
5,apriori_pruning,0.2,nan,nan
1,apriori_no_pruning,0.2,nan,nan
2,apriori_no_pruning,0.2,nan,nan
3,apriori_no_pruning,0.2,nan,nan
4,apriori_no_pruning,0.2,nan,nan
5,apriori_no_pruning,0.2,nan,nan
1,eclat,0.15,nan,nan
2,eclat,0.15,nan,nan
3,eclat,0.15,nan,nan
4,eclat,0.15,nan,nan
5,eclat,0.15,nan,nan
1,apriori_pruning,0.15,nan,nan
2,apriori_pruning,0.15,nan,nan
3,apriori_pruning,0.15,nan,nan
4,apriori_pruning,0.15,nan,nan
5,apriori_pruning,0.15,nan,nan
1,apriori_no_pruning,0.15,nan,nan
2,apriori_no_pruning,0.15,nan,nan
3,apriori_no_pruning,0.15,nan,nan
4,apriori_no_pruning,0.15,nan,nan
5,apriori_no_pruning,0.15,nan,nan
1,eclat,0.1,nan,nan
2,eclat,0.1,nan,nan
3,eclat,0.1,nan,nan
4,eclat,0.1,nan,nan
5,eclat,0.1,nan,nan
1,apriori_pruning,0.1,nan,nan
2,apriori_pruning,0.1,nan,nan
3,apriori_pruning,0.1,nan,nan
4,apriori_pruning,0.1,nan,nan
5,apriori_pruning,0.1,nan,nan
1,apriori_no_pruning,0.1,nan,nan
2,apriori_no_pruning,0.1,nan,nan
3,apriori_no_pruning,0.1,nan,nan
4,apriori_no_pruning,0.1,nan,nan
5,apriori_no_pruning,0.1,nan,nan
1,eclat,0.05,nan,nan
2,eclat,0.05,nan,nan
3,eclat,0.05,nan,nan
4,eclat,0.05,nan,nan
5,eclat,0.05,nan,nan
1,apriori_pruning,0.05,nan,nan
2,apriori_pruning,0.05,nan,nan
3,apriori_pruning,0.05,nan,nan
4,apriori_pruning,0.05,nan,nan
5,apriori_pruning,0.05,nan,nan
1,apriori_no_pruning,0.05,nan,nan
2,apriori_no_pruning,0.05,nan,nan
3,apriori_no_pruning,0.05,nan,nan
4,apriori_no_pruning,0.05,nan,nan
5,apriori_no_pruning,0.05,nan,nan
