run,algorithm,threshold,time,max_memory
1,eclat,0.5,0.428557,98.83
1,apriori_pruning,0.5,0.341275,61.33
1,apriori_no_pruning,0.5,0.335719,61.27
1,eclat,0.1,0.53274,106.98
1,apriori_pruning,0.1,0.41651,60.58
1,apriori_no_pruning,0.1,0.406147,60.48
1,eclat,0.05,0.549319,89.14
1,apriori_pruning,0.05,0.465056,60.39
1,apriori_no_pruning,0.05,0.492871,60.58
1,eclat,0.01,1.349117,125.19
1,apriori_pruning,0.01,12.055138,60.0
1,apriori_no_pruning,0.01,14.855802,61.94
1,eclat,0.005,2.9348,117.5
1,apriori_pruning,0.005,119.594866,66.86
1,apriori_no_pruning,0.005,171.643196,67.97
1,eclat,0.001,19.437898,124.8
1,apriori_pruning,0.001,nan,nan
1,apriori_no_pruning,0.001,nan,nan
