run,algorithm,threshold,time,max_memory
1,eclat,0.9,0.513256,45.53
2,eclat,0.9,0.517859,45.51
3,eclat,0.9,0.548752,45.53
4,eclat,0.9,0.530641,45.53
5,eclat,0.9,0.544441,45.53
1,apriori_pruning,0.9,0.390794,43.95
2,apriori_pruning,0.9,0.389096,43.95
3,apriori_pruning,0.9,0.403147,43.95
4,apriori_pruning,0.9,0.3699,43.95
5,apriori_pruning,0.9,0.368181,43.95
1,apriori_no_pruning,0.9,0.395989,43.89
2,apriori_no_pruning,0.9,0.39169,43.95
3,apriori_no_pruning,0.9,0.397656,43.95
4,apriori_no_pruning,0.9,0.407471,43.95
5,apriori_no_pruning,0.9,0.354508,43.95
1,eclat,0.8,0.504165,45.54
2,eclat,0.8,0.514933,45.54
3,eclat,0.8,0.506246,45.52
4,eclat,0.8,0.51381,45.52
5,eclat,0.8,0.55799,45.52
1,apriori_pruning,0.8,0.36266,43.96
2,apriori_pruning,0.8,0.393022,43.96
3,apriori_pruning,0.8,0.398434,43.96
4,apriori_pruning,0.8,0.355821,43.96
5,apriori_pruning,0.8,0.369411,43.96
1,apriori_no_pruning,0.8,0.381852,43.96
2,apriori_no_pruning,0.8,0.402663,43.96
3,apriori_no_pruning,0.8,0.402816,43.96
4,apriori_no_pruning,0.8,0.370596,43.96
5,apriori_no_pruning,0.8,0.373676,43.96
1,eclat,0.7,0.544737,45.52
2,eclat,0.7,0.551198,45.52
3,eclat,0.7,0.550216,45.52
4,eclat,0.7,0.547437,45.52
5,eclat,0.7,0.534358,45.52
1,apriori_pruning,0.7,0.397312,43.96
2,apriori_pruning,0.7,0.367702,43.96
3,apriori_pruning,0.7,0.363284,43.96
4,apriori_pruning,0.7,0.369053,43.96
5,apriori_pruning,0.7,0.398359,43.96
1,apriori_no_pruning,0.7,0.387935,43.96
2,apriori_no_pruning,0.7,0.394703,43.96
3,apriori_no_pruning,0.7,0.363768,43.96
4,apriori_no_pruning,0.7,0.367073,43.96
5,apriori_no_pruning,0.7,0.398039,43.96
