run,algorithm,threshold,time,max_memory
1,eclat,0.9,0.000933,22.75
2,eclat,0.9,0.000215,22.76
3,eclat,0.9,0.000236,22.76
4,eclat,0.9,0.000217,22.89
5,eclat,0.9,0.000149,22.76
1,apriori_pruning,0.9,0.000313,22.89
2,apriori_pruning,0.9,0.00012,22.76
3,apriori_pruning,0.9,0.000107,22.76
4,apriori_pruning,0.9,0.000105,22.77
5,apriori_pruning,0.9,0.000105,22.77
1,apriori_no_pruning,0.9,0.000153,22.77
2,apriori_no_pruning,0.9,9.8e-05,22.77
3,apriori_no_pruning,0.9,0.000102,22.77
4,apriori_no_pruning,0.9,0.000145,22.77
5,apriori_no_pruning,0.9,0.000158,22.77
1,eclat,0.8,0.000126,22.77
2,eclat,0.8,0.000126,22.77
3,eclat,0.8,0.00014,22.77
4,eclat,0.8,0.000121,22.77
5,eclat,0.8,0.000167,22.77
1,apriori_pruning,0.8,9.9e-05,22.77
2,apriori_pruning,0.8,0.0001,22.77
3,apriori_pruning,0.8,9.8e-05,22.77
4,apriori_pruning,0.8,0.00011,22.77
5,apriori_pruning,0.8,0.000108,22.77
1,apriori_no_pruning,0.8,0.00016,22.77
2,apriori_no_pruning,0.8,0.000121,22.77
3,apriori_no_pruning,0.8,0.000106,22.77
4,apriori_no_pruning,0.8,0.000151,22.77
5,apriori_no_pruning,0.8,0.000124,22.77
1,eclat,0.7,0.000169,22.77
2,eclat,0.7,0.00016,22.77
3,eclat,0.7,0.000135,22.77
4,eclat,0.7,0.000211,22.77
5,eclat,0.7,0.00015,22.77
1,apriori_pruning,0.7,0.000123,22.77
2,apriori_pruning,0.7,0.00012,22.77
3,apriori_pruning,0.7,0.00013,22.77
4,apriori_pruning,0.7,0.000163,22.77
5,apriori_pruning,0.7,0.000121,22.77
1,apriori_no_pruning,0.7,0.000125,22.77
2,apriori_no_pruning,0.7,0.000125,22.77
3,apriori_no_pruning,0.7,0.000127,22.77
4,apriori_no_pruning,0.7,0.000125,22.77
5,apriori_no_pruning,0.7,0.00015,22.77
1,eclat,0.6,0.000152,22.77
2,eclat,0.6,0.000144,22.77
3,eclat,0.6,0.000145,22.78
4,eclat,0.6,0.000143,22.78
5,eclat,0.6,0.000191,22.78
1,apriori_pruning,0.6,0.000196,22.78
2,apriori_pruning,0.6,0.000153,22.78
3,apriori_pruning,0.6,0.000152,22.78
4,apriori_pruning,0.6,0.000154,22.78
5,apriori_pruning,0.6,0.000153,22.78
1,apriori_no_pruning,0.6,0.000146,22.78
2,apriori_no_pruning,0.6,0.000218,22.78
3,apriori_no_pruning,0.6,0.000163,22.78
4,apriori_no_pruning,0.6,0.000131,22.78
5,apriori_no_pruning,0.6,0.000131,22.78
1,eclat,0.5,0.000155,22.78
2,eclat,0.5,0.000231,22.78
3,eclat,0.5,0.000161,22.78
4,eclat,0.5,0.000144,22.78
5,eclat,0.5,0.000164,22.78
1,apriori_pruning,0.5,0.00017,22.78
2,apriori_pruning,0.5,0.000164,22.78
3,apriori_pruning,0.5,0.000276,22.78
4,apriori_pruning,0.5,0.000219,22.78
5,apriori_pruning,0.5,0.000181,22.78
1,apriori_no_pruning,0.5,0.000216,22.78
2,apriori_no_pruning,0.5,0.000198,22.78
3,apriori_no_pruning,0.5,0.000157,22.78
4,apriori_no_pruning,0.5,0.000228,22.78
5,apriori_no_pruning,0.5,0.000197,22.78
1,eclat,0.4,0.000148,22.78
2,eclat,0.4,0.000547,22.78
3,eclat,0.4,0.000162,22.78
4,eclat,0.4,0.000146,22.78
5,eclat,0.4,0.000225,22.78
1,apriori_pruning,0.4,0.000162,22.78
2,apriori_pruning,0.4,0.000176,22.78
3,apriori_pruning,0.4,0.000902,22.78
4,apriori_pruning,0.4,0.000173,22.78
5,apriori_pruning,0.4,0.000451,22.78
1,apriori_no_pruning,0.4,0.000151,22.78
2,apriori_no_pruning,0.4,0.000147,22.78
3,apriori_no_pruning,0.4,0.000571,22.78
4,apriori_no_pruning,0.4,0.000146,22.78
5,apriori_no_pruning,0.4,0.000159,22.78
1,eclat,0.3,0.0002,22.78
2,eclat,0.3,0.000164,22.78
3,eclat,0.3,0.000165,22.78
4,eclat,0.3,0.000528,22.78
5,eclat,0.3,0.000161,22.78
1,apriori_pruning,0.3,0.000183,22.78
2,apriori_pruning,0.3,0.000196,22.78
3,apriori_pruning,0.3,0.000184,22.78
4,apriori_pruning,0.3,0.000183,22.78
5,apriori_pruning,0.3,0.000262,22.78
1,apriori_no_pruning,0.3,0.000201,22.78
2,apriori_no_pruning,0.3,0.000185,22.78
3,apriori_no_pruning,0.3,0.000164,22.78
4,apriori_no_pruning,0.3,0.000158,22.78
