run,algorithm,threshold,time,max_memory
1,eclat,0.9,8.700954,451.42
2,eclat,0.9,8.371593,451.3
3,eclat,0.9,8.336053,451.22
4,eclat,0.9,8.30746,451.33
5,eclat,0.9,8.293036,451.34
1,apriori_pruning,0.9,6.914396,450.29
2,apriori_pruning,0.9,6.624798,450.39
3,apriori_pruning,0.9,6.65186,450.41
4,apriori_pruning,0.9,6.64455,450.35
5,apriori_pruning,0.9,6.628538,450.34
1,apriori_no_pruning,0.9,6.893394,450.34
2,apriori_no_pruning,0.9,6.637911,450.36
3,apriori_no_pruning,0.9,6.657066,450.33
4,apriori_no_pruning,0.9,6.627702,450.41
5,apriori_no_pruning,0.9,6.624876,450.41
1,eclat,0.8,14.035662,451.23
2,eclat,0.8,13.799572,451.1
3,eclat,0.8,13.823559,451.23
4,eclat,0.8,13.787935,451.23
5,eclat,0.8,13.766413,451.23
1,apriori_pruning,0.8,16.78911,450.27
2,apriori_pruning,0.8,16.462236,450.23
3,apriori_pruning,0.8,16.421441,450.3
4,apriori_pruning,0.8,16.458049,450.24
5,apriori_pruning,0.8,16.481944,450.25
1,apriori_no_pruning,0.8,24.364277,450.29
2,apriori_no_pruning,0.8,24.117743,450.29
3,apriori_no_pruning,0.8,23.715225,450.3
4,apriori_no_pruning,0.8,24.001678,450.33
5,apriori_no_pruning,0.8,24.126689,450.29
1,eclat,0.7,26.774993,451.29
2,eclat,0.7,26.558977,451.21
3,eclat,0.7,26.523741,451.29
4,eclat,0.7,26.522612,451.3
5,eclat,0.7,26.54033,451.27
1,apriori_pruning,0.7,51.708711,695.98
2,apriori_pruning,0.7,51.339259,695.96
3,apriori_pruning,0.7,50.680447,695.94
4,apriori_pruning,0.7,50.964932,695.91
5,apriori_pruning,0.7,51.445715,695.93
1,apriori_no_pruning,0.7,119.647966,696.62
2,apriori_no_pruning,0.7,119.510252,696.55
3,apriori_no_pruning,0.7,118.442907,696.59
4,apriori_no_pruning,0.7,119.321496,696.65
5,apriori_no_pruning,0.7,119.295596,696.54
1,eclat,0.6,74.942141,698.93
2,eclat,0.6,74.379621,698.93
3,eclat,0.6,74.460974,698.93
4,eclat,0.6,74.238281,698.93
5,eclat,0.6,74.555429,698.93
1,apriori_pruning,0.6,215.77445,696.99
2,apriori_pruning,0.6,217.725937,696.88
3,apriori_pruning,0.6,217.427138,696.92
4,apriori_pruning,0.6,217.093081,696.87
5,apriori_pruning,0.6,217.912192,696.94
1,apriori_no_pruning,0.6,521.545668,699.02
2,apriori_no_pruning,0.6,524.117378,699.16
3,apriori_no_pruning,0.6,525.849962,699.2
4,apriori_no_pruning,0.6,522.583357,699.21
5,apriori_no_pruning,0.6,521.962256,699.23
1,eclat,0.5,244.311871,705.04
2,eclat,0.5,242.812833,705.23
3,eclat,0.5,243.92572,705.23
4,eclat,0.5,243.914912,705.23
5,eclat,0.5,244.198548,705.23
1,apriori_pruning,0.5,876.347305,700.07
2,apriori_pruning,0.5,873.911324,699.8
3,apriori_pruning,0.5,875.241557,699.91
4,apriori_pruning,0.5,871.915294,699.48
5,apriori_pruning,0.5,873.372009,700.0
1,apriori_no_pruning,0.5,nan,nan
2,apriori_no_pruning,0.5,nan,nan
3,apriori_no_pruning,0.5,nan,nan
4,apriori_no_pruning,0.5,nan,nan
5,apriori_no_pruning,0.5,nan,nan
1,eclat,0.4,772.341423,720.28
2,eclat,0.4,770.635396,720.29
3,eclat,0.4,770.952285,720.16
4,eclat,0.4,772.631612,720.3
5,eclat,0.4,772.606943,720.29
1,apriori_pruning,0.4,nan,nan
2,apriori_pruning,0.4,nan,nan
3,apriori_pruning,0.4,nan,nan
4,apriori_pruning,0.4,nan,nan
5,apriori_pruning,0.4,nan,nan
1,apriori_no_pruning,0.4,nan,nan
2,apriori_no_pruning,0.4,nan,nan
3,apriori_no_pruning,0.4,nan,nan
4,apriori_no_pruning,0.4,nan,nan
5,apriori_no_pruning,0.4,nan,nan
1,eclat,0.3,nan,nan
2,eclat,0.3,nan,nan
3,eclat,0.3,nan,nan
4,eclat,0.3,nan,nan
5,eclat,0.3,nan,nan
1,apriori_pruning,0.3,nan,nan
2,apriori_pruning,0.3,nan,nan
3,apriori_pruning,0.3,nan,nan
4,apriori_pruning,0.3,nan,nan
5,apriori_pruning,0.3,nan,nan
1,apriori_no_pruning,0.3,nan,nan
2,apriori_no_pruning,0.3,nan,nan
3,apriori_no_pruning,0.3,nan,nan
4,apriori_no_pruning,0.3,nan,nan
5,apriori_no_pruning,0.3,nan,nan
1,eclat,0.2,nan,nan
2,eclat,0.2,nan,nan
3,eclat,0.2,nan,nan
4,eclat,0.2,nan,nan
5,eclat,0.2,nan,nan
1,apriori_pruning,0.2,nan,nan
2,apriori_pruning,0.2,nan,nan
3,apriori_pruning,0.2,nan,nan
4,apriori_pruning,0.2,nan,nan
5,apriori_pruning,0.2,nan,nan
1,apriori_no_pruning,0.2,nan,nan
2,apriori_no_pruning,0.2,nan,nan
3,apriori_no_pruning,0.2,nan,nan
4,apriori_no_pruning,0.2,nan,nan
5,apriori_no_pruning,0.2,nan,nan
1,eclat,0.15,nan,nan
2,eclat,0.15,nan,nan
3,eclat,0.15,nan,nan
4,eclat,0.15,nan,nan
5,eclat,0.15,nan,nan
1,apriori_pruning,0.15,nan,nan
2,apriori_pruning,0.15,nan,nan
3,apriori_pruning,0.15,nan,nan
4,apriori_pruning,0.15,nan,nan
5,apriori_pruning,0.15,nan,nan
1,apriori_no_pruning,0.15,nan,nan
2,apriori_no_pruning,0.15,nan,nan
3,apriori_no_pruning,0.15,nan,nan
4,apriori_no_pruning,0.15,nan,nan
5,apriori_no_pruning,0.15,nan,nan
1,eclat,0.1,nan,nan
2,eclat,0.1,nan,nan
3,eclat,0.1,nan,nan
4,eclat,0.1,nan,nan
