run,algorithm,threshold,time,max_memory
1,eclat,0.9,0.151107,30.66
2,eclat,0.9,0.159084,30.61
3,eclat,0.9,0.2025,30.66
4,eclat,0.9,0.197052,30.66
5,eclat,0.9,0.205775,30.66
1,apriori_pruning,0.9,0.525815,24.64
2,apriori_pruning,0.9,0.471594,24.64
3,apriori_pruning,0.9,0.485052,24.64
4,apriori_pruning,0.9,0.469967,24.64
5,apriori_pruning,0.9,0.472407,24.64
1,apriori_no_pruning,0.9,1.065238,25.07
2,apriori_no_pruning,0.9,1.081677,24.99
3,apriori_no_pruning,0.9,1.052869,25.07
4,apriori_no_pruning,0.9,1.055387,25.04
5,apriori_no_pruning,0.9,1.039791,25.07
1,eclat,0.8,1.219259,32.24
2,eclat,0.8,1.230929,32.24
3,eclat,0.8,1.198874,32.24
4,eclat,0.8,1.178602,32.24
5,eclat,0.8,1.184173,32.24
1,apriori_pruning,0.8,10.458694,35.15
2,apriori_pruning,0.8,10.387475,35.05
3,apriori_pruning,0.8,10.415434,35.09
4,apriori_pruning,0.8,10.521359,35.12
5,apriori_pruning,0.8,10.407236,35.13
1,apriori_no_pruning,0.8,17.973888,36.96
2,apriori_no_pruning,0.8,18.005653,36.79
3,apriori_no_pruning,0.8,17.969241,36.96
4,apriori_no_pruning,0.8,17.97359,36.96
5,apriori_no_pruning,0.8,17.966845,36.96
1,eclat,0.7,6.602327,46.84
2,eclat,0.7,6.582778,47.82
3,eclat,0.7,6.606279,47.95
4,eclat,0.7,6.61955,47.82
5,eclat,0.7,6.65274,47.95
1,apriori_pruning,0.7,157.078903,47.85
2,apriori_pruning,0.7,156.062083,47.63
3,apriori_pruning,0.7,156.144182,47.73
4,apriori_pruning,0.7,156.283273,47.73
5,apriori_pruning,0.7,156.16052,47.73
1,apriori_no_pruning,0.7,272.520947,50.0
2,apriori_no_pruning,0.7,272.116689,49.92
3,apriori_no_pruning,0.7,272.632136,50.04
4,apriori_no_pruning,0.7,272.782398,50.16
5,apriori_no_pruning,0.7,272.387476,50.04
1,eclat,0.6,32.789697,60.96
2,eclat,0.6,32.906993,61.03
3,eclat,0.6,32.835603,60.96
4,eclat,0.6,32.947077,61.09
5,eclat,0.6,32.909609,60.86
1,apriori_pruning,0.6,nan,nan
2,apriori_pruning,0.6,nan,nan
3,apriori_pruning,0.6,nan,nan
4,apriori_pruning,0.6,nan,nan
5,apriori_pruning,0.6,nan,nan
1,apriori_no_pruning,0.6,nan,nan
2,apriori_no_pruning,0.6,nan,nan
3,apriori_no_pruning,0.6,nan,nan
4,apriori_no_pruning,0.6,nan,nan
5,apriori_no_pruning,0.6,nan,nan
1,eclat,0.5,153.88229,78.39
2,eclat,0.5,153.520957,77.54
3,eclat,0.5,154.209167,77.61
4,eclat,0.5,154.044759,77.54
5,eclat,0.5,153.742249,77.61
1,apriori_pruning,0.5,nan,nan
2,apriori_pruning,0.5,nan,nan
3,apriori_pruning,0.5,nan,nan
4,apriori_pruning,0.5,nan,nan
5,apriori_pruning,0.5,nan,nan
1,apriori_no_pruning,0.5,nan,nan
2,apriori_no_pruning,0.5,nan,nan
3,apriori_no_pruning,0.5,nan,nan
4,apriori_no_pruning,0.5,nan,nan
5,apriori_no_pruning,0.5,nan,nan
1,eclat,0.4,728.960296,92.24
2,eclat,0.4,733.284797,92.4
3,eclat,0.4,738.970739,92.01
4,eclat,0.4,748.185162,92.16
5,eclat,0.4,735.911947,92.28
1,apriori_pruning,0.4,nan,nan
2,apriori_pruning,0.4,nan,nan
3,apriori_pruning,0.4,nan,nan
4,apriori_pruning,0.4,nan,nan
5,apriori_pruning,0.4,nan,nan
1,apriori_no_pruning,0.4,nan,nan
2,apriori_no_pruning,0.4,nan,nan
3,apriori_no_pruning,0.4,nan,nan
4,apriori_no_pruning,0.4,nan,nan
5,apriori_no_pruning,0.4,nan,nan
1,eclat,0.3,nan,nan
2,eclat,0.3,nan,nan
3,eclat,0.3,nan,nan
4,eclat,0.3,nan,nan
5,eclat,0.3,nan,nan
1,apriori_pruning,0.3,nan,nan
2,apriori_pruning,0.3,nan,nan
3,apriori_pruning,0.3,nan,nan
4,apriori_pruning,0.3,nan,nan
5,apriori_pruning,0.3,nan,nan
1,apriori_no_pruning,0.3,nan,nan
2,apriori_no_pruning,0.3,nan,nan
3,apriori_no_pruning,0.3,nan,nan
4,apriori_no_pruning,0.3,nan,nan
5,apriori_no_pruning,0.3,nan,nan
1,eclat,0.2,nan,nan
2,eclat,0.2,nan,nan
3,eclat,0.2,nan,nan
4,eclat,0.2,nan,nan
5,eclat,0.2,nan,nan
1,apriori_pruning,0.2,nan,nan
2,apriori_pruning,0.2,nan,nan
3,apriori_pruning,0.2,nan,nan
4,apriori_pruning,0.2,nan,nan
5,apriori_pruning,0.2,nan,nan
1,apriori_no_pruning,0.2,nan,nan
2,apriori_no_pruning,0.2,nan,nan
3,apriori_no_pruning,0.2,nan,nan
4,apriori_no_pruning,0.2,nan,nan
5,apriori_no_pruning,0.2,nan,nan
1,eclat,0.15,nan,nan
2,eclat,0.15,nan,nan
3,eclat,0.15,nan,nan
4,eclat,0.15,nan,nan
5,eclat,0.15,nan,nan
1,apriori_pruning,0.15,nan,nan
2,apriori_pruning,0.15,nan,nan
3,apriori_pruning,0.15,nan,nan
4,apriori_pruning,0.15,nan,nan
5,apriori_pruning,0.15,nan,nan
1,apriori_no_pruning,0.15,nan,nan
2,apriori_no_pruning,0.15,nan,nan
3,apriori_no_pruning,0.15,nan,nan
4,apriori_no_pruning,0.15,nan,nan
5,apriori_no_pruning,0.15,nan,nan
1,eclat,0.1,nan,nan
2,eclat,0.1,nan,nan
3,eclat,0.1,nan,nan
4,eclat,0.1,nan,nan
5,eclat,0.1,nan,nan
1,apriori_pruning,0.1,nan,nan
2,apriori_pruning,0.1,nan,nan
3,apriori_pruning,0.1,nan,nan
4,apriori_pruning,0.1,nan,nan
5,apriori_pruning,0.1,nan,nan
1,apriori_no_pruning,0.1,nan,nan
2,apriori_no_pruning,0.1,nan,nan
3,apriori_no_pruning,0.1,nan,nan
4,apriori_no_pruning,0.1,nan,nan
5,apriori_no_pruning,0.1,nan,nan
1,eclat,0.05,nan,nan
2,eclat,0.05,nan,nan
3,eclat,0.05,nan,nan
4,eclat,0.05,nan,nan
5,eclat,0.05,nan,nan
1,apriori_pruning,0.05,nan,nan
2,apriori_pruning,0.05,nan,nan
3,apriori_pruning,0.05,nan,nan
4,apriori_pruning,0.05,nan,nan
5,apriori_pruning,0.05,nan,nan
1,apriori_no_pruning,0.05,nan,nan
2,apriori_no_pruning,0.05,nan,nan
3,apriori_no_pruning,0.05,nan,nan
4,apriori_no_pruning,0.05,nan,nan
5,apriori_no_pruning,0.05,nan,nan
1,eclat,0.01,nan,nan
2,eclat,0.01,nan,nan
3,eclat,0.01,nan,nan
4,eclat,0.01,nan,nan
5,eclat,0.01,nan,nan
1,apriori_pruning,0.01,nan,nan
2,apriori_pruning,0.01,nan,nan
3,apriori_pruning,0.01,nan,nan
4,apriori_pruning,0.01,nan,nan
5,apriori_pruning,0.01,nan,nan
1,apriori_no_pruning,0.01,nan,nan
2,apriori_no_pruning,0.01,nan,nan
3,apriori_no_pruning,0.01,nan,nan
4,apriori_no_pruning,0.01,nan,nan
5,apriori_no_pruning,0.01,nan,nan
1,eclat,0.005,nan,nan
2,eclat,0.005,nan,nan
3,eclat,0.005,nan,nan
4,eclat,0.005,nan,nan
5,eclat,0.005,nan,nan
1,apriori_pruning,0.005,nan,nan
2,apriori_pruning,0.005,nan,nan
3,apriori_pruning,0.005,nan,nan
4,apriori_pruning,0.005,nan,nan
5,apriori_pruning,0.005,nan,nan
1,apriori_no_pruning,0.005,nan,nan
2,apriori_no_pruning,0.005,nan,nan
3,apriori_no_pruning,0.005,nan,nan
4,apriori_no_pruning,0.005,nan,nan
5,apriori_no_pruning,0.005,nan,nan
1,eclat,0.001,nan,nan
2,eclat,0.001,nan,nan
3,eclat,0.001,nan,nan
4,eclat,0.001,nan,nan
5,eclat,0.001,nan,nan
1,apriori_pruning,0.001,nan,nan
2,apriori_pruning,0.001,nan,nan
3,apriori_pruning,0.001,nan,nan
4,apriori_pruning,0.001,nan,nan
5,apriori_pruning,0.001,nan,nan
1,apriori_no_pruning,0.001,nan,nan
2,apriori_no_pruning,0.001,nan,nan
3,apriori_no_pruning,0.001,nan,nan
4,apriori_no_pruning,0.001,nan,nan
5,apriori_no_pruning,0.001,nan,nan
