run,algorithm,threshold,time,max_memory
1,eclat,0.9,0.08125,25.79
2,eclat,0.9,0.080845,25.79
3,eclat,0.9,0.083598,25.79
4,eclat,0.9,0.081388,25.79
5,eclat,0.9,0.117337,25.73
1,apriori_pruning,0.9,0.088234,24.29
2,apriori_pruning,0.9,0.069706,24.29
3,apriori_pruning,0.9,0.074541,24.29
4,apriori_pruning,0.9,0.071376,24.29
5,apriori_pruning,0.9,0.066846,24.29
1,apriori_no_pruning,0.9,0.069535,24.29
2,apriori_no_pruning,0.9,0.078971,24.29
3,apriori_no_pruning,0.9,0.067446,24.29
4,apriori_no_pruning,0.9,0.069622,24.26
5,apriori_no_pruning,0.9,0.065894,24.29
1,eclat,0.8,0.089266,25.8
2,eclat,0.8,0.088632,25.8
3,eclat,0.8,0.099059,25.8
4,eclat,0.8,0.208937,25.8
5,eclat,0.8,0.231163,25.8
1,apriori_pruning,0.8,0.137687,24.3
2,apriori_pruning,0.8,0.102596,24.3
3,apriori_pruning,0.8,0.139096,24.3
4,apriori_pruning,0.8,0.088145,24.3
5,apriori_pruning,0.8,0.132929,24.3
1,apriori_no_pruning,0.8,0.121999,24.3
2,apriori_no_pruning,0.8,0.232817,24.3
3,apriori_no_pruning,0.8,0.252055,24.3
4,apriori_no_pruning,0.8,0.233624,24.3
5,apriori_no_pruning,0.8,0.246497,24.3
1,eclat,0.7,0.22969,25.8
2,eclat,0.7,0.228016,25.8
3,eclat,0.7,0.258974,25.7
4,eclat,0.7,0.201586,25.76
5,eclat,0.7,0.109209,25.8
1,apriori_pruning,0.7,0.106503,24.3
2,apriori_pruning,0.7,0.134626,24.3
3,apriori_pruning,0.7,0.109538,24.3
4,apriori_pruning,0.7,0.108234,24.3
5,apriori_pruning,0.7,0.10718,24.3
1,apriori_no_pruning,0.7,0.108459,24.3
2,apriori_no_pruning,0.7,0.147244,24.2
3,apriori_no_pruning,0.7,0.115191,24.3
4,apriori_no_pruning,0.7,0.09829,24.3
5,apriori_no_pruning,0.7,0.102413,24.3
1,eclat,0.6,0.113576,25.8
2,eclat,0.6,0.132701,25.8
3,eclat,0.6,0.114835,25.8
4,eclat,0.6,0.123017,25.8
5,eclat,0.6,0.115295,25.8
1,apriori_pruning,0.6,0.154649,24.31
2,apriori_pruning,0.6,0.138463,24.22
3,apriori_pruning,0.6,0.136371,24.31
4,apriori_pruning,0.6,0.135719,24.31
5,apriori_pruning,0.6,0.128876,24.31
1,apriori_no_pruning,0.6,0.177215,24.32
2,apriori_no_pruning,0.6,0.158897,24.32
3,apriori_no_pruning,0.6,0.159027,24.32
4,apriori_no_pruning,0.6,0.160022,24.32
5,apriori_no_pruning,0.6,0.155348,24.32
1,eclat,0.5,0.161231,26.97
2,eclat,0.5,0.161874,26.94
3,eclat,0.5,0.307509,26.97
4,eclat,0.5,0.368707,26.97
5,eclat,0.5,0.272047,26.97
1,apriori_pruning,0.5,0.493159,25.49
2,apriori_pruning,0.5,0.973654,25.55
3,apriori_pruning,0.5,0.47343,25.54
4,apriori_pruning,0.5,0.726353,25.57
5,apriori_pruning,0.5,0.456795,25.58
1,apriori_no_pruning,0.5,0.722733,25.59
2,apriori_no_pruning,0.5,0.946557,25.7
3,apriori_no_pruning,0.5,0.539277,25.7
4,apriori_no_pruning,0.5,0.541085,25.7
5,apriori_no_pruning,0.5,0.536432,25.66
1,eclat,0.4,0.359025,41.93
2,eclat,0.4,0.345974,41.93
3,eclat,0.4,0.684346,41.93
4,eclat,0.4,0.272702,41.93
5,eclat,0.4,0.281665,41.93
1,apriori_pruning,0.4,1.686874,41.03
2,apriori_pruning,0.4,1.484447,41.03
3,apriori_pruning,0.4,1.268155,41.16
4,apriori_pruning,0.4,1.067899,41.16
5,apriori_pruning,0.4,1.350018,41.16
1,apriori_no_pruning,0.4,3.600741,41.14
2,apriori_no_pruning,0.4,3.985469,41.08
3,apriori_no_pruning,0.4,3.087609,41.19
4,apriori_no_pruning,0.4,3.025899,41.19
5,apriori_no_pruning,0.4,3.067467,41.19
1,eclat,0.3,0.874491,42.36
2,eclat,0.3,0.787647,42.36
3,eclat,0.3,0.760489,42.36
4,eclat,0.3,0.776736,42.36
5,eclat,0.3,0.772946,42.36
1,apriori_pruning,0.3,5.832514,42.41
2,apriori_pruning,0.3,5.812657,42.41
3,apriori_pruning,0.3,5.803366,42.41
4,apriori_pruning,0.3,5.804383,42.41
5,apriori_pruning,0.3,5.844414,42.41
1,apriori_no_pruning,0.3,12.936403,45.93
2,apriori_no_pruning,0.3,12.898093,46.02
3,apriori_no_pruning,0.3,12.920974,45.98
4,apriori_no_pruning,0.3,13.045075,45.87
5,apriori_no_pruning,0.3,12.91049,45.92
1,eclat,0.2,8.087351,57.64
2,eclat,0.2,8.109138,57.59
3,eclat,0.2,7.990491,57.6
4,eclat,0.2,8.074553,57.72
5,eclat,0.2,8.07882,57.72
1,apriori_pruning,0.2,240.471815,61.75
2,apriori_pruning,0.2,231.331592,62.11
3,apriori_pruning,0.2,217.072269,61.93
4,apriori_pruning,0.2,214.92302,61.89
5,apriori_pruning,0.2,216.761976,62.19
1,apriori_no_pruning,0.2,323.083417,62.19
2,apriori_no_pruning,0.2,323.537303,62.21
3,apriori_no_pruning,0.2,323.557468,62.32
4,apriori_no_pruning,0.2,324.837511,62.32
5,apriori_no_pruning,0.2,325.970829,62.21
1,eclat,0.15,14.850132,65.58
2,eclat,0.15,14.336433,65.71
3,eclat,0.15,14.116365,65.5
4,eclat,0.15,14.110265,65.71
5,eclat,0.15,14.350447,65.69
1,apriori_pruning,0.15,637.278502,71.36
2,apriori_pruning,0.15,639.192066,71.38
3,apriori_pruning,0.15,646.417576,71.25
4,apriori_pruning,0.15,652.764129,71.17
5,apriori_pruning,0.15,639.50317,71.36
1,apriori_no_pruning,0.15,nan,nan
2,apriori_no_pruning,0.15,nan,nan
3,apriori_no_pruning,0.15,nan,nan
4,apriori_no_pruning,0.15,nan,nan
5,apriori_no_pruning,0.15,nan,nan
1,eclat,0.1,44.283521,76.39
2,eclat,0.1,44.241705,76.23
3,eclat,0.1,44.12966,76.35
4,eclat,0.1,44.080544,76.4
5,eclat,0.1,44.30621,76.34
1,apriori_pruning,0.1,nan,nan
2,apriori_pruning,0.1,nan,nan
3,apriori_pruning,0.1,nan,nan
4,apriori_pruning,0.1,nan,nan
5,apriori_pruning,0.1,nan,nan
1,apriori_no_pruning,0.1,nan,nan
2,apriori_no_pruning,0.1,nan,nan
3,apriori_no_pruning,0.1,nan,nan
4,apriori_no_pruning,0.1,nan,nan
5,apriori_no_pruning,0.1,nan,nan
1,eclat,0.05,180.075361,94.11
2,eclat,0.05,179.60835,94.05
3,eclat,0.05,179.818094,94.11
4,eclat,0.05,179.910711,93.84
5,eclat,0.05,180.320987,93.8
1,apriori_pruning,0.05,nan,nan
2,apriori_pruning,0.05,nan,nan
3,apriori_pruning,0.05,nan,nan
4,apriori_pruning,0.05,nan,nan
5,apriori_pruning,0.05,nan,nan
1,apriori_no_pruning,0.05,nan,nan
2,apriori_no_pruning,0.05,nan,nan
3,apriori_no_pruning,0.05,nan,nan
4,apriori_no_pruning,0.05,nan,nan
5,apriori_no_pruning,0.05,nan,nan
1,eclat,0.01,nan,nan
2,eclat,0.01,nan,nan
3,eclat,0.01,nan,nan
4,eclat,0.01,nan,nan
5,eclat,0.01,nan,nan
1,apriori_pruning,0.01,nan,nan
2,apriori_pruning,0.01,nan,nan
3,apriori_pruning,0.01,nan,nan
4,apriori_pruning,0.01,nan,nan
5,apriori_pruning,0.01,nan,nan
1,apriori_no_pruning,0.01,nan,nan
2,apriori_no_pruning,0.01,nan,nan
3,apriori_no_pruning,0.01,nan,nan
4,apriori_no_pruning,0.01,nan,nan
5,apriori_no_pruning,0.01,nan,nan
1,eclat,0.005,nan,nan
2,eclat,0.005,nan,nan
3,eclat,0.005,nan,nan
4,eclat,0.005,nan,nan
5,eclat,0.005,nan,nan
1,apriori_pruning,0.005,nan,nan
2,apriori_pruning,0.005,nan,nan
3,apriori_pruning,0.005,nan,nan
4,apriori_pruning,0.005,nan,nan
5,apriori_pruning,0.005,nan,nan
1,apriori_no_pruning,0.005,nan,nan
2,apriori_no_pruning,0.005,nan,nan
