run,algorithm,threshold,time,max_memory
1,eclat,0.9,11.43434,140.69
2,eclat,0.9,11.327923,140.76
3,eclat,0.9,11.29134,140.69
4,eclat,0.9,11.319563,140.82
5,eclat,0.9,11.382028,140.82
1,apriori_pruning,0.9,78.822885,123.92
2,apriori_pruning,0.9,79.044155,123.95
3,apriori_pruning,0.9,78.606215,123.89
4,apriori_pruning,0.9,78.825095,123.98
5,apriori_pruning,0.9,78.781023,123.96
1,apriori_no_pruning,0.9,141.887027,125.31
2,apriori_no_pruning,0.9,142.151534,125.29
3,apriori_no_pruning,0.9,141.918418,125.3
4,apriori_no_pruning,0.9,141.459172,125.35
5,apriori_no_pruning,0.9,142.375829,125.34
1,eclat,0.8,463.6809,148.0
2,eclat,0.8,464.229748,148.06
3,eclat,0.8,464.193821,147.97
4,eclat,0.8,464.977845,148.09
5,eclat,0.8,462.925481,148.1
1,apriori_pruning,0.8,nan,nan
2,apriori_pruning,0.8,nan,nan
3,apriori_pruning,0.8,nan,nan
4,apriori_pruning,0.8,nan,nan
5,apriori_pruning,0.8,nan,nan
1,apriori_no_pruning,0.8,nan,nan
2,apriori_no_pruning,0.8,nan,nan
3,apriori_no_pruning,0.8,nan,nan
4,apriori_no_pruning,0.8,nan,nan
5,apriori_no_pruning,0.8,nan,nan
1,eclat,0.7,nan,nan
2,eclat,0.7,nan,nan
3,eclat,0.7,nan,nan
4,eclat,0.7,nan,nan
5,eclat,0.7,nan,nan
1,apriori_pruning,0.7,nan,nan
2,apriori_pruning,0.7,nan,nan
3,apriori_pruning,0.7,nan,nan
4,apriori_pruning,0.7,nan,nan
5,apriori_pruning,0.7,nan,nan
1,apriori_no_pruning,0.7,nan,nan
2,apriori_no_pruning,0.7,nan,nan
3,apriori_no_pruning,0.7,nan,nan
4,apriori_no_pruning,0.7,nan,nan
5,apriori_no_pruning,0.7,nan,nan
1,eclat,0.6,nan,nan
2,eclat,0.6,nan,nan
3,eclat,0.6,nan,nan
4,eclat,0.6,nan,nan
5,eclat,0.6,nan,nan
1,apriori_pruning,0.6,nan,nan
2,apriori_pruning,0.6,nan,nan
3,apriori_pruning,0.6,nan,nan
4,apriori_pruning,0.6,nan,nan
5,apriori_pruning,0.6,nan,nan
1,apriori_no_pruning,0.6,nan,nan
2,apriori_no_pruning,0.6,nan,nan
3,apriori_no_pruning,0.6,nan,nan
4,apriori_no_pruning,0.6,nan,nan
5,apriori_no_pruning,0.6,nan,nan
1,eclat,0.5,nan,nan
2,eclat,0.5,nan,nan
3,eclat,0.5,nan,nan
4,eclat,0.5,nan,nan
5,eclat,0.5,nan,nan
1,apriori_pruning,0.5,nan,nan
2,apriori_pruning,0.5,nan,nan
3,apriori_pruning,0.5,nan,nan
4,apriori_pruning,0.5,nan,nan
5,apriori_pruning,0.5,nan,nan
1,apriori_no_pruning,0.5,nan,nan
2,apriori_no_pruning,0.5,nan,nan
3,apriori_no_pruning,0.5,nan,nan
4,apriori_no_pruning,0.5,nan,nan
5,apriori_no_pruning,0.5,nan,nan
1,eclat,0.4,nan,nan
2,eclat,0.4,nan,nan
3,eclat,0.4,nan,nan
4,eclat,0.4,nan,nan
5,eclat,0.4,nan,nan
1,apriori_pruning,0.4,nan,nan
