run,algorithm,threshold,time,max_memory
1,eclat,0.9,0.892616,45.72
2,eclat,0.9,0.821915,45.72
3,eclat,0.9,0.648873,45.72
4,eclat,0.9,0.639902,45.72
5,eclat,0.9,0.640106,45.72
1,apriori_pruning,0.9,0.439324,44.98
2,apriori_pruning,0.9,0.493754,44.98
3,apriori_pruning,0.9,0.520765,44.99
4,apriori_pruning,0.9,0.40562,44.98
5,apriori_pruning,0.9,0.408615,44.86
1,apriori_no_pruning,0.9,0.444103,44.98
2,apriori_no_pruning,0.9,0.485329,44.75
3,apriori_no_pruning,0.9,0.536086,44.98
4,apriori_no_pruning,0.9,0.406581,44.98
5,apriori_no_pruning,0.9,0.405984,44.98
1,eclat,0.8,0.695969,45.73
2,eclat,0.8,0.871784,45.66
3,eclat,0.8,0.652673,45.73
4,eclat,0.8,0.642486,45.73
5,eclat,0.8,0.634638,45.73
1,apriori_pruning,0.8,0.445699,44.99
2,apriori_pruning,0.8,0.509917,44.77
3,apriori_pruning,0.8,0.513582,44.99
4,apriori_pruning,0.8,0.403218,44.99
5,apriori_pruning,0.8,0.406682,44.99
1,apriori_no_pruning,0.8,0.443497,44.99
2,apriori_no_pruning,0.8,0.499101,44.82
3,apriori_no_pruning,0.8,0.531,44.79
4,apriori_no_pruning,0.8,0.406,44.99
5,apriori_no_pruning,0.8,0.405975,44.99
1,eclat,0.7,0.71634,45.7
2,eclat,0.7,0.851613,45.69
3,eclat,0.7,0.641464,45.71
4,eclat,0.7,0.639079,45.71
5,eclat,0.7,0.65368,45.64
1,apriori_pruning,0.7,0.453536,45.0
2,apriori_pruning,0.7,0.506803,44.81
3,apriori_pruning,0.7,0.509789,44.84
4,apriori_pruning,0.7,0.40736,45.0
5,apriori_pruning,0.7,0.408724,45.0
1,apriori_no_pruning,0.7,0.4488,45.0
2,apriori_no_pruning,0.7,0.486751,45.0
3,apriori_no_pruning,0.7,0.526683,44.88
4,apriori_no_pruning,0.7,0.40829,45.0
5,apriori_no_pruning,0.7,0.405274,45.0
1,eclat,0.6,0.730611,45.67
2,eclat,0.6,0.836592,45.72
3,eclat,0.6,0.65644,45.72
4,eclat,0.6,0.637531,45.72
5,eclat,0.6,0.641339,45.72
1,apriori_pruning,0.6,0.447183,44.81
2,apriori_pruning,0.6,0.510555,44.78
3,apriori_pruning,0.6,0.512811,45.0
4,apriori_pruning,0.6,0.4043,45.0
5,apriori_pruning,0.6,0.407855,45.0
1,apriori_no_pruning,0.6,0.453974,44.84
2,apriori_no_pruning,0.6,0.491071,45.0
3,apriori_no_pruning,0.6,0.526616,45.0
4,apriori_no_pruning,0.6,0.405991,45.0
5,apriori_no_pruning,0.6,0.402791,45.0
1,eclat,0.5,0.797232,46.11
2,eclat,0.5,0.870282,45.91
3,eclat,0.5,0.690824,46.04
4,eclat,0.5,0.676865,45.99
5,eclat,0.5,0.67756,46.11
1,apriori_pruning,0.5,0.458781,44.95
2,apriori_pruning,0.5,0.532069,45.01
3,apriori_pruning,0.5,0.528396,44.8
4,apriori_pruning,0.5,0.425359,45.01
5,apriori_pruning,0.5,0.421962,45.01
1,apriori_no_pruning,0.5,0.464629,45.01
2,apriori_no_pruning,0.5,0.520805,44.83
3,apriori_no_pruning,0.5,0.530393,45.01
4,apriori_no_pruning,0.5,0.413813,45.01
5,apriori_no_pruning,0.5,0.414836,45.01
1,eclat,0.4,0.885423,46.06
2,eclat,0.4,0.882679,46.0
